Food_Item,Calories,Protein_g,Carbs_g,Fat_g,Rasa,Virya,Vipaka,Vata_Recommendation,Pitta_Recommendation,Kapha_Recommendation,Regional_Cuisine,Health_Conditions
Rice,152,32.27,18.76,27.4,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,East Indian,"['Weight_Loss', 'Digestion', 'General_Wellness']"
Pomegranate,509,25.24,5.53,1.3,Lavana (Salty),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,South Indian,"['Heart_Health', 'Acidity']"
Sesame Seeds,437,37.8,47.25,13.8,Amla (Sour),Ushna (Hot),Amla (Sour),Avoid,Favor,Favor,North Indian,"['Weight_Gain', 'Weight_Loss', 'Skin_Health']"
Jowar Roti,451,31.46,75.46,31.37,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,East Indian,['Weight_Gain']
Coconut Water,114,2.59,36.76,14.12,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Avoid,South Indian,"['Hair_Growth', 'Skin_Health', 'Digestion']"
Pistachio,148,24.47,25.6,19.86,Lavana (Salty),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Avoid,West Indian,"['Heart_Health', 'Skin_Health']"
Goat Cheese,456,24.97,45.49,7.51,Tikta (Bitter),Shita (Cold),Katu (Pungent),Favor,Favor,Neutral,North Indian,"['Weight_Loss', 'Weight_Gain']"
Almond Oil,239,6.18,22.1,15.24,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,South Indian,['Diabetes']
Sunflower Seeds,546,11.65,23.52,24.52,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,South Indian,"['Diabetes', 'Stress']"
Oats,465,24.52,11.06,13.25,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Avoid,Avoid,West Indian,"['Skin_Health', 'Weight_Gain', 'Acidity']"
Dal Makhani,560,10.61,53.39,6.52,Madhura (Sweet),Shita (Cold),Katu (Pungent),Neutral,Favor,Favor,North Indian,"['Weight_Loss', 'Diabetes']"
Sev Puri,353,38.69,46.87,30.95,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Avoid,South Indian,['Skin_Health']
